,Artist name,Title of Artwork,Artwork type,Auction,Location,Closed date,Currency,low Estimate,high Estimate,Price realised,Details,Website link
11,PABLO PICASSO,femmes a leur toilette. i (b. 1199; ba. 1181),Prints,Sotheby's,New York,18–24 October 2023 ,USD,7000,10000,10795,"Pablo Picasso 1881 - 1973 Femmes a leur toilette. I (B. 1199; Ba. 1181) signed in pencil and numbered 22/50 aquatint and drypoint on Richard de Bas wove paper plate: 15 by 10¾ in. 380 by 274 mm. sheet: 22½ by 17 in. 571 by 434 mm. Executed in 1965; this impression is number 29 from the edition of 50 plus 15 artist's proofs, published by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/femmes-a-leur-toilette-i-b-1199-ba-1181
12,PABLO PICASSO,"femme songeuse et inquiète dans l'atelier de sculpture, from the vollard suite (b. 188; ba. 347)",Prints,Sotheby's,New York,18–24 October 2023 ,USD,8000,12000,20320,"Property from a Private Collection, Ohio Pablo Picasso 1881 - 1973 Femme songeuse et inquiète dans l'atelier de sculpture, from the Vollard suite (B. 188; Ba. 347) signed in pencil etching on Montval laid paper with the Vollard watermark plate: 10½ by 7½ in. 267 by 190 mm. sheet: 17¾ by 13⅜ in. 450 by 340 mm. Executed in 1933; this impression is from the total edition of 310, published by Vollard.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/femme-songeuse-et-inquiete-dans-latelier-de
13,PABLO PICASSO,le crapaud (b. 585; m. 144),Prints,Sotheby's,New York,18–24 October 2023 ,USD,25000,35000,33020,"Pablo Picasso 1881 - 1973 Le Crapaud (B. 585; M. 144) signed in red crayon and numbered 28/50 lithograph on Arches wove paper image: 19⅝ by 25⅛ in. 499 by 640 mm. sheet: 19⅝ by 25¾ in. 500 by 655 mm. Executed in 1949; this impression is number 28 from the edition of 50, published by Mourlot.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/le-crapaud-b-585-m-144
14,PABLO PICASSO,scène d'intérieur (b. 74; ba. 241; mourlot xxi),Prints,Sotheby's,New York,18–24 October 2023 ,USD,4000,6000,4445,"Pablo Picasso 1881 - 1973 Scène d'intérieur (B. 74; Ba. 241; Mourlot XXI) signed in pencil and numbered 41/100 lithograph on Van Gelder wove paper image: 8¾ by 10⅝ in. 222 by 271 mm. sheet: 13 by 19⅜ in. 328 by 493 mm. Executed in 1926; this impression is number 41 from the edition of 100, published by Galerie Simon Kahnweiler.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/scene-dinterieur-b-74-ba-241-mourlot-xxi
15,PABLO PICASSO,"tête de femme: madeleine, from saltimbanques (b. 2; ba. 3)",Prints,Sotheby's,New York,18–24 October 2023 ,USD,5000,7000,8890,"Pablo Picasso 1881 - 1973 Tête de femme: Madeleine, from Saltimbanques (B. 2; Ba. 3) signed in pencil etching on Van Gelder wove paper plate: 4⅝ by 3⅜ in. 119 by 87 mm. sheet: 11⅜ by 9⅝ in. 289 by 246 mm. Executed in 1905; this impression is from the edition of 250 (there are also 27 or 29 on vieux japon), published by Vollard in 1913.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/tete-de-femme-madeleine-from-saltimbanques-b-2-ba
16,PABLO PICASSO,buste de femme d'après cranach le jeune (b. 859; ba. 1053),Prints,Sotheby's,New York,18–24 October 2023 ,USD,150000,250000,355600,"Property from the Estate of Eric & Ellen Blum, New York Pablo Picasso 1881 - 1973 Buste de femme d'après Cranach le Jeune (B. 859; Ba. 1053) signed in blue crayon and numbered 13/50 linoleum cut printed in colors on Arches wove paper image: 25½ by 20⅞ in. 646 by 531 mm. sheet : 30⅛ by 22½ in. 765 by 573 mm. Executed in 1958; this impression is number 13 from the edition of 50, published by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/buste-de-femme-dapres-cranach-le-jeune-b-859-ba
17,PABLO PICASSO,femme nue à la source (b. 1093; ba. 1326),Prints,Sotheby's,New York,18–24 October 2023 ,USD,15000,20000,17780,"Pablo Picasso 1881 - 1973 Femme nue à la source (B. 1093; Ba. 1326) signed in pencil and numbered 27/50 linoleum cut printed in colors on Arches wove paper image: 20¾ by 25 in. 528 by 637 mm. sheet: 24¼ by 29½ in. 617 by 750 mm. Executed in 1962; this impression is number 27 from the edition of 50, published by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/femme-nue-a-la-source-b-1093-ba-1326
18,PABLO PICASSO,fumeur ii (b. 1166; ba. 1166),Prints,Sotheby's,New York,18–24 October 2023 ,USD,15000,25000,22860,"Pablo Picasso 1881 - 1973 Fumeur II (B. 1166; Ba. 1166) signed in pencil twice and numbered 5/50 aquatint printed in colors on Auvergne Richard de Bas wove paper plate: 16¼ by 12⅜ in. 413 by 314 mm. sheet: 22 by 16 in. 560 by 410 mm. Executed in 1964; this impression is number 4 from the edition of 50 plus 15 artist's proofs, published in 1965 by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/fumeur-ii-b-1166-ba-1166
19,PABLO PICASSO,modèle au vase,Impressionist & Modern Art,Sotheby's,Paris,13–23 October 2023 ,EUR,50000,70000,69850,"Property from a Distinguished Private Swiss Collection Pablo Picasso 1881 - 1973 Modèle au vase signed Picasso, dated 19.1.54 and numbered I (lower right) India ink on paper 24 x 32,1 cm; 9½ x 12⅝ in. Executed on January 19, 1954. __________________________________________________________________________ Provenant d'une Prestigieuse Collection Particulière Suisse Pablo Picasso 1881 - 1973 Modèle au vase signé Picasso, daté 19.1.54 et numéroté I (en bas à droite) encre de Chine sur papier 24 x 32,1 cm; 9½ x 12⅝ in. Exécuté le 19 janvier 1954.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-day-auction-2/modele-au-vase
20,PABLO PICASSO,visage (a. r. 531),Impressionist & Modern Art,Sotheby's,Paris,13–23 October 2023 ,EUR,4000,6000,6985,"Pablo Picasso 1881 - 1973 Visage (A. R. 531) numbered 19/100 in black ink, with the workshop numbering and the Empreinte Originale de Picasso and Madoura stamps terre de faïence plate diameter: 42 cm; 16½ in. Executed in 1965; this work is number 19 from the edition of 100. __________________________________________________________________________ Pablo Picasso 1881 - 1973 Visage (A. R. 531) numéroté 19/100 à l'encre noir, avec la numérotation de l'atelier et l'Empreinte Originale de Picasso et le cachet Madoura plat en terre de faïence diamètre: 42 cm; 16½ in. Exécuté en 1965; cette pièce est numérotée 19 de l'édition de 100.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-day-auction-2/visage-a-r-531
21,PABLO PICASSO,corrida sur fond noir (a. r. 198),Impressionist & Modern Art,Sotheby's,Paris,13–23 October 2023 ,EUR,6500,7500,8255,"Pablo Picasso 1881 - 1973 Corrida sur fond noir (A. R. 198) with the Edition Picasso and Madoura stamps terre de faïence dish, glazed and painted length: 39 cm; 15⅜ in. Executed in 1953; this work is from the edition of 500. __________________________________________________________________________ Pablo Picasso 1881 - 1973 Corrida sur fond noir (A. R. 198) porte les cachets Edition Picasso et Madoura plat en terre de faïence, émaillé et peint longueur: 39 cm; 15⅜ in. Exécuté en 1953; cette pièce est de l'édition de 500.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-day-auction-2/corrida-sur-fond-noir-a-r-198
